LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1707823635.224905,38640.667,3432,3,PI,1,100,170955
1707823635.264785,38679.333,3432,3,PI,1,100,170980
1707823635.304665,38718.000,3432,3,PI,1,100,170997
1707823635.344888,38757.000,3450,2,PI,1,100,171052
1707823635.385112,38796.000,3450,2,PI,1,100,171122
1707823635.424648,38834.333,3468,3,PI,1,100,171169
1707823635.464184,38872.667,3468,3,PI,1,100,171226
1707823635.503721,38911.000,3468,3,PI,1,100,171286
1707823635.550648,38956.500,3485,2,PI,1,100,171325
1707823635.597576,39002.000,3485,2,PI,1,100,171361
1707823635.637112,39040.333,3500,3,PI,1,100,171414
1707823635.676648,39078.667,3500,3,PI,1,100,171474
1707823635.716185,39117.000,3500,3,PI,1,100,171514
1707823635.755996,39155.600,3520,5,PI,1,100,171568
1707823635.795807,39194.200,3520,5,PI,1,100,171622
1707823635.835618,39232.800,3520,5,PI,1,100,171536
1707823635.875429,39271.400,3520,5,PI,1,100,171228
1707823635.915241,39310.000,3520,5,PI,1,100,170975
1707823635.955121,39348.667,3538,3,PI,1,100,170825
1707823635.995001,39387.333,3538,3,PI,1,100,170701
1707823636.034881,39426.000,3538,3,PI,1,100,170611
1707823636.074589,39464.500,3552,2,PI,1,100,170582
1707823636.114297,39503.000,3552,2,PI,1,100,170628
1707823636.154177,39541.667,3569,3,PI,1,100,170669
1707823636.194057,39580.333,3569,3,PI,1,100,170699
1707823636.233937,39619.000,3569,3,PI,1,100,170738
1707823636.273645,39657.500,3586,2,PI,1,100,170776
1707823636.313353,39696.000,3586,2,PI,1,100,170837
1707823636.352889,39734.333,3605,3,PI,1,100,170899
1707823636.392425,39772.667,3605,3,PI,1,100,170955
1707823636.431961,39811.000,3605,3,PI,1,100,171033
1707823636.471841,39849.667,3621,3,PI,1,100,171091
1707823636.511721,39888.333,3621,3,PI,1,100,171127
1707823636.551601,39927.000,3621,3,PI,1,100,171187
1707823636.591309,39965.500,3637,2,PI,1,100,171235
1707823636.631017,40004.000,3637,2,PI,1,100,171300
1707823636.670553,40042.333,3653,3,PI,1,100,171351
1707823636.710090,40080.667,3653,3,PI,1,100,171397
1707823636.749626,40119.000,3653,3,PI,1,100,171265
1707823636.789162,40157.333,3670,3,PI,1,100,170939
1707823636.828698,40195.667,3670,3,PI,1,100,170723
1707823636.868234,40234.000,3670,3,PI,1,100,170569
1707823636.907942,40272.500,3686,2,PI,1,100,170473
1707823636.947651,40311.000,3686,2,PI,1,100,170429
1707823636.987187,40349.333,3703,3,PI,1,100,170447
1707823637.026723,40387.667,3703,3,PI,1,100,170499
1707823637.066259,40426.000,3703,3,PI,1,100,170534
1707823637.105967,40464.500,3718,2,PI,1,100,170565
1707823637.145675,40503.000,3718,2,PI,1,100,170597
1707823637.186243,40542.333,3737,3,PI,1,100,170641
1707823637.226810,40581.667,3737,3,PI,1,100,170711
1707823637.267378,40621.000,3737,3,PI,1,100,170774
1707823637.307945,40660.333,3754,3,PI,1,100,170831
1707823637.348513,40699.667,3754,3,PI,1,100,170890
1707823637.389080,40739.000,3754,3,PI,1,100,170945
1707823637.429304,40778.000,3771,2,PI,1,100,171008
1707823637.469528,40817.000,3771,2,PI,1,100,171061
1707823637.508720,40855.000,3785,3,PI,1,100,171113
1707823637.547913,40893.000,3785,3,PI,1,100,171161
1707823637.587105,40931.000,3785,3,PI,1,100,171221
1707823637.626298,40969.000,3803,2,PI,1,100,171235
1707823637.665490,41007.000,3803,2,PI,1,100,170977
1707823637.705370,41045.667,3819,3,PI,1,100,170716
