LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1707823647.358385,50405.000,5267,2,T1,1,100,22.939
1707823647.490401,50533.000,5267,2,T1,1,100,22.938
1707823647.624996,50663.500,5285,2,T1,1,100,22.938
1707823647.759591,50794.000,5285,2,T1,1,100,23.009
1707823647.892639,50923.000,5301,1,T1,1,100,23.039
1707823648.023624,51050.000,5333,1,T1,1,100,22.946
1707823648.156672,51179.000,5350,1,T1,1,100,22.870
1707823648.291782,51310.000,5369,1,T1,1,100,22.908
1707823648.426893,51441.000,5386,1,T1,1,100,22.925
1707823648.558909,51569.000,5418,1,T1,1,100,23.003
1707823648.691957,51698.000,5436,1,T1,1,100,22.966
1707823648.827068,51829.000,5453,1,T1,1,100,22.950
1707823648.960115,51958.000,5485,1,T1,1,100,22.907
1707823649.093163,52087.000,5501,1,T1,1,100,22.924
1707823649.224148,52214.000,5520,1,T1,1,100,23.038
1707823649.360290,52346.000,5537,1,T1,1,100,22.910
1707823649.494369,52476.000,5570,1,T1,1,100,23.032
1707823649.626386,52604.000,5588,1,T1,1,100,23.014
1707823649.759434,52733.000,5604,1,T1,1,100,22.971
1707823649.890419,52860.000,5621,1,T1,1,100,23.023
1707823650.026561,52992.000,5653,1,T1,1,100,23.081
1707823650.158577,53120.000,5669,1,T1,1,100,22.929
1707823650.291625,53249.000,5689,1,T1,1,100,23.075
1707823650.424673,53378.000,5705,1,T1,1,100,22.962
1707823650.557721,53507.000,5737,1,T1,1,100,23.054
1707823650.693863,53639.000,5754,1,T1,1,100,23.059
1707823650.825879,53767.000,5770,1,T1,1,100,23.132
1707823650.958927,53896.000,5804,1,T1,1,100,23.093
1707823651.090943,54024.000,5821,1,T1,1,100,23.111
1707823651.223991,54153.000,5837,1,T1,1,100,23.119
1707823651.354976,54280.000,5855,1,T1,1,100,23.158
1707823651.488024,54409.000,5886,1,T1,1,100,23.068
1707823651.623135,54540.000,5908,1,T1,1,100,23.100
1707823651.758245,54671.000,5925,1,T1,1,100,23.114
1707823651.890262,54799.000,5943,1,T1,1,100,23.120
1707823652.022278,54927.000,5961,1,T1,1,100,23.194
1707823652.155326,55056.000,5992,1,T1,1,100,23.190
1707823652.290436,55187.000,6009,1,T1,1,100,23.189
1707823652.424516,55317.000,6026,1,T1,1,100,23.188
1707823652.556532,55445.000,6058,1,T1,1,100,23.117
1707823652.688549,55573.000,6074,1,T1,1,100,23.157
1707823652.822628,55703.000,6093,1,T1,1,100,23.139
1707823652.958770,55835.000,6110,1,T1,1,100,23.096
1707823653.090786,55963.000,6141,1,T1,1,100,23.112
