EpochTimestamp,TypeTag,AX,AY,AZ,ACC
1707823636.81976,ACC,-0.665,0.551,0.471,0.983700665853185
1707823636.85483,ACC,-0.682,0.555,0.484,1.0036956710079
1707823636.89505,ACC,-0.671,0.55,0.479,0.991050957317534
1707823636.93527,ACC,-0.682,0.554,0.486,1.00410955577566
1707823636.97481,ACC,-0.674,0.549,0.469,0.987743893932025
1707823637.01435,ACC,-0.679,0.557,0.488,1.00470592712495
1707823637.05388,ACC,-0.675,0.549,0.478,0.992728563102725
1707823637.09376,ACC,-0.67,0.56,0.484,0.998376682420017
1707823637.13364,ACC,-0.674,0.552,0.471,0.990364074469586
1707823637.17352,ACC,-0.672,0.556,0.48,0.995550099191397
1707823637.21375,ACC,-0.677,0.559,0.478,0.999646937673497
1707823637.25397,ACC,-0.676,0.556,0.479,0.997774022512112
1707823637.29488,ACC,-0.678,0.555,0.478,0.998094684887161
1707823637.33579,ACC,-0.674,0.553,0.475,0.992829290462364
1707823637.3767,ACC,-0.67,0.557,0.479,0.99427863297971
1707823637.41641,ACC,-0.672,0.561,0.48,0.998351140631391
1707823637.45612,ACC,-0.669,0.559,0.479,0.994727600903886
1707823637.49566,ACC,-0.671,0.556,0.481,0.995358226971576
1707823637.53519,ACC,-0.678,0.557,0.481,1.00064679083081
1707823637.57473,ACC,-0.675,0.56,0.474,0.996945836041257
1707823637.61427,ACC,-0.667,0.558,0.478,0.992339155732555
1707823637.6538,ACC,-0.672,0.553,0.486,0.996789345849965
1707823637.69334,ACC,-0.679,0.56,0.484,1.00443864919665
1707823637.73356,ACC,-0.669,0.559,0.466,0.988533256901355
1707823637.77379,ACC,-0.674,0.56,0.485,1.00154929983501
1707823637.81435,ACC,-0.669,0.561,0.474,0.993457598491249
1707823637.85492,ACC,-0.679,0.557,0.486,1.00373602107327
1707823637.89549,ACC,-0.672,0.56,0.477,0.996349838159268
1707823637.93571,ACC,-0.665,0.56,0.472,0.989246683087692
1707823637.97594,ACC,-0.675,0.567,0.488,1.00760011909487
1707823638.01582,ACC,-0.663,0.559,0.473,0.987815266130262
1707823638.0557,ACC,-0.671,0.567,0.488,1.00492487281388
1707823638.09558,ACC,-0.668,0.56,0.482,0.996066262856041
1707823638.13511,ACC,-0.667,0.557,0.487,0.996146073625751
1707823638.17465,ACC,-0.667,0.569,0.486,1.00242007162666
1707823638.21418,ACC,-0.662,0.562,0.473,0.988846297459823
1707823638.25389,ACC,-0.675,0.56,0.486,1.00270683651803
1707823638.2936,ACC,-0.662,0.563,0.47,0.987984311616333
1707823638.33348,ACC,-0.666,0.562,0.486,0.997795570244727
