LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1707823632.140739,35650.333,2940,3,AY,1,100,0.549
1707823632.176494,35685.000,2940,3,AY,1,100,0.536
1707823632.216202,35723.500,2957,2,AY,1,100,0.519
1707823632.255910,35762.000,2957,2,AY,1,100,0.542
1707823632.295790,35800.667,2974,3,AY,1,100,0.547
1707823632.335670,35839.333,2974,3,AY,1,100,0.529
1707823632.375550,35878.000,2974,3,AY,1,100,0.534
1707823632.415258,35916.500,2991,2,AY,1,100,0.539
1707823632.454966,35955.000,2991,2,AY,1,100,0.539
1707823632.494846,35993.667,3007,3,AY,1,100,0.534
1707823632.534726,36032.333,3007,3,AY,1,100,0.532
1707823632.574606,36071.000,3007,3,AY,1,100,0.542
1707823632.615173,36110.333,3023,3,AY,1,100,0.536
1707823632.655741,36149.667,3023,3,AY,1,100,0.535
1707823632.696308,36189.000,3023,3,AY,1,100,0.539
1707823632.736532,36228.000,3039,2,AY,1,100,0.535
1707823632.776756,36267.000,3039,2,AY,1,100,0.541
1707823632.816636,36305.667,3058,3,AY,1,100,0.535
1707823632.856516,36344.333,3058,3,AY,1,100,0.537
1707823632.896396,36383.000,3058,3,AY,1,100,0.541
1707823632.936620,36422.000,3075,2,AY,1,100,0.534
1707823632.976843,36461.000,3075,2,AY,1,100,0.535
1707823633.016036,36499.000,3091,3,AY,1,100,0.541
1707823633.055228,36537.000,3091,3,AY,1,100,0.541
1707823633.094421,36575.000,3091,3,AY,1,100,0.532
1707823633.134301,36613.667,3106,3,AY,1,100,0.539
1707823633.174181,36652.333,3106,3,AY,1,100,0.537
1707823633.214060,36691.000,3106,3,AY,1,100,0.538
1707823633.254284,36730.000,3124,2,AY,1,100,0.535
1707823633.294508,36769.000,3124,2,AY,1,100,0.536
1707823633.334732,36808.000,3140,3,AY,1,100,0.542
1707823633.374956,36847.000,3140,3,AY,1,100,0.536
1707823633.415179,36886.000,3140,3,AY,1,100,0.538
1707823633.455059,36924.667,3157,3,AY,1,100,0.537
1707823633.494939,36963.333,3157,3,AY,1,100,0.539
1707823633.534819,37002.000,3157,3,AY,1,100,0.542
1707823633.575043,37041.000,3171,2,AY,1,100,0.538
1707823633.615267,37080.000,3171,2,AY,1,100,0.538
1707823633.654803,37118.333,3193,3,AY,1,100,0.541
1707823633.694339,37156.667,3193,3,AY,1,100,0.537
1707823633.733875,37195.000,3193,3,AY,1,100,0.539
1707823633.773583,37233.500,3209,2,AY,1,100,0.541
1707823633.813291,37272.000,3209,2,AY,1,100,0.541
1707823633.853515,37311.000,3226,3,AY,1,100,0.539
1707823633.893739,37350.000,3226,3,AY,1,100,0.543
1707823633.933963,37389.000,3226,3,AY,1,100,0.542
1707823633.975218,37429.000,3242,2,AY,1,100,0.541
1707823634.016473,37469.000,3242,2,AY,1,100,0.537
1707823634.056353,37507.667,3258,3,AY,1,100,0.539
1707823634.096233,37546.333,3258,3,AY,1,100,0.546
1707823634.136113,37585.000,3258,3,AY,1,100,0.539
1707823634.175649,37623.333,3274,3,AY,1,100,0.537
1707823634.215185,37661.667,3274,3,AY,1,100,0.548
1707823634.254721,37700.000,3274,3,AY,1,100,0.548
1707823634.293914,37738.000,3292,2,AY,1,100,0.535
