LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1707823634.957090,38381.000,3397,3,GZ,1,100,-0.366
1707823634.997314,38420.000,3397,3,GZ,1,100,-0.580
1707823635.038053,38459.500,3411,2,GZ,1,100,-0.610
1707823635.078793,38499.000,3411,2,GZ,1,100,-0.275
1707823635.118673,38537.667,3428,3,GZ,1,100,0.275
1707823635.158553,38576.333,3428,3,GZ,1,100,0.824
1707823635.198433,38615.000,3428,3,GZ,1,100,1.068
1707823635.238141,38653.500,3444,2,GZ,1,100,0.488
1707823635.277849,38692.000,3444,2,GZ,1,100,0.641
1707823635.317729,38730.667,3462,3,GZ,1,100,0.488
1707823635.357609,38769.333,3462,3,GZ,1,100,0.122
1707823635.397489,38808.000,3462,3,GZ,1,100,-0.824
1707823635.437369,38846.667,3480,3,GZ,1,100,-1.434
1707823635.477249,38885.333,3480,3,GZ,1,100,-0.824
1707823635.517129,38924.000,3480,3,GZ,1,100,0.366
1707823635.557352,38963.000,3495,2,GZ,1,100,1.892
1707823635.597576,39002.000,3495,2,GZ,1,100,1.068
1707823635.637112,39040.333,3512,3,GZ,1,100,-0.122
1707823635.676648,39078.667,3512,3,GZ,1,100,-0.336
1707823635.716185,39117.000,3512,3,GZ,1,100,-0.031
1707823635.755996,39155.600,3532,5,GZ,1,100,-0.305
1707823635.795807,39194.200,3532,5,GZ,1,100,-0.610
1707823635.835618,39232.800,3532,5,GZ,1,100,0.122
1707823635.875429,39271.400,3532,5,GZ,1,100,0.610
1707823635.915241,39310.000,3532,5,GZ,1,100,-0.031
1707823635.955121,39348.667,3548,3,GZ,1,100,-0.122
1707823635.995001,39387.333,3548,3,GZ,1,100,0.244
1707823636.034881,39426.000,3548,3,GZ,1,100,0.214
1707823636.074589,39464.500,3564,2,GZ,1,100,-0.092
1707823636.114297,39503.000,3564,2,GZ,1,100,-0.122
1707823636.154177,39541.667,3581,3,GZ,1,100,-0.061
1707823636.194057,39580.333,3581,3,GZ,1,100,0.122
1707823636.233937,39619.000,3581,3,GZ,1,100,-0.397
1707823636.273129,39657.000,3598,3,GZ,1,100,-1.221
1707823636.312321,39695.000,3598,3,GZ,1,100,-0.427
1707823636.351514,39733.000,3598,3,GZ,1,100,0.122
1707823636.391738,39772.000,3617,2,GZ,1,100,-0.061
1707823636.431961,39811.000,3617,2,GZ,1,100,-0.275
1707823636.471841,39849.667,3631,3,GZ,1,100,-0.061
1707823636.511721,39888.333,3631,3,GZ,1,100,-0.122
1707823636.551601,39927.000,3631,3,GZ,1,100,-0.214
1707823636.591309,39965.500,3649,2,GZ,1,100,0.000
1707823636.631017,40004.000,3649,2,GZ,1,100,0.214
1707823636.670553,40042.333,3665,3,GZ,1,100,0.122
1707823636.710090,40080.667,3665,3,GZ,1,100,0.061
1707823636.749626,40119.000,3665,3,GZ,1,100,0.488
1707823636.784693,40153.000,3682,3,GZ,1,100,0.366
1707823636.819760,40187.000,3682,3,GZ,1,100,0.763
1707823636.854826,40221.000,3682,3,GZ,1,100,0.885
1707823636.895050,40260.000,3697,2,GZ,1,100,0.580
1707823636.935274,40299.000,3697,2,GZ,1,100,0.549
1707823636.974810,40337.333,3714,3,GZ,1,100,0.824
1707823637.014346,40375.667,3714,3,GZ,1,100,0.916
1707823637.053882,40414.000,3714,3,GZ,1,100,1.190
1707823637.093762,40452.667,3730,3,GZ,1,100,1.129
1707823637.133642,40491.333,3730,3,GZ,1,100,0.214
1707823637.173522,40530.000,3730,3,GZ,1,100,-0.031
1707823637.213746,40569.000,3749,2,GZ,1,100,0.244
1707823637.253970,40608.000,3749,2,GZ,1,100,0.000
1707823637.294881,40647.667,3766,3,GZ,1,100,0.244
1707823637.335793,40687.333,3766,3,GZ,1,100,0.763
1707823637.376704,40727.000,3766,3,GZ,1,100,1.038
1707823637.416412,40765.500,3781,2,GZ,1,100,0.732
1707823637.456120,40804.000,3781,2,GZ,1,100,0.122
1707823637.495656,40842.333,3797,3,GZ,1,100,-0.397
1707823637.535192,40880.667,3797,3,GZ,1,100,-0.580
1707823637.574729,40919.000,3797,3,GZ,1,100,-0.092
1707823637.614265,40957.333,3815,3,GZ,1,100,0.336
1707823637.653801,40995.667,3815,3,GZ,1,100,-0.305
1707823637.693337,41034.000,3815,3,GZ,1,100,-0.793
1707823637.733561,41073.000,3831,2,GZ,1,100,-0.427
1707823637.773785,41112.000,3831,2,GZ,1,100,-0.305
1707823637.814352,41151.333,3848,3,GZ,1,100,-0.153
1707823637.854920,41190.667,3848,3,GZ,1,100,0.183
1707823637.895487,41230.000,3848,3,GZ,1,100,0.610
1707823637.935711,41269.000,3863,2,GZ,1,100,0.977
1707823637.975935,41308.000,3863,2,GZ,1,100,0.977
1707823638.015815,41346.667,3882,3,GZ,1,100,0.793
1707823638.055695,41385.333,3882,3,GZ,1,100,0.641
1707823638.095575,41424.000,3882,3,GZ,1,100,0.214
1707823638.135111,41462.333,3898,3,GZ,1,100,0.122
1707823638.174647,41500.667,3898,3,GZ,1,100,0.519
1707823638.214183,41539.000,3898,3,GZ,1,100,0.122
1707823638.253891,41577.500,3916,2,GZ,1,100,-0.671
1707823638.293599,41616.000,3916,2,GZ,1,100,0.183
1707823638.333479,41654.667,3930,3,GZ,1,100,0.885
1707823638.373359,41693.333,3930,3,GZ,1,100,0.885
1707823638.413239,41732.000,3930,3,GZ,1,100,1.068
1707823638.453807,41771.333,3947,3,GZ,1,100,1.007
1707823638.494374,41810.667,3947,3,GZ,1,100,1.190
1707823638.534942,41850.000,3947,3,GZ,1,100,0.214
1707823638.575166,41889.000,3963,2,GZ,1,100,0.000
1707823638.615389,41928.000,3963,2,GZ,1,100,-0.366
1707823638.655269,41966.667,3983,3,GZ,1,100,-0.275
1707823638.695149,42005.333,3983,3,GZ,1,100,0.305
1707823638.735029,42044.000,3983,3,GZ,1,100,0.244
1707823638.775253,42083.000,3999,2,GZ,1,100,0.214
1707823638.815477,42122.000,3999,2,GZ,1,100,-0.916
1707823638.855013,42160.333,4014,3,GZ,1,100,-0.885
1707823638.894549,42198.667,4014,3,GZ,1,100,-1.556
1707823638.934085,42237.000,4014,3,GZ,1,100,-1.526
1707823638.973965,42275.667,4033,3,GZ,1,100,-1.465
1707823639.013845,42314.333,4033,3,GZ,1,100,-1.312
1707823639.053725,42353.000,4033,3,GZ,1,100,-1.862
1707823639.089824,42388.000,4050,3,GZ,1,100,-2.655
1707823639.125922,42423.000,4050,3,GZ,1,100,-1.801
1707823639.162020,42458.000,4050,3,GZ,1,100,-2.136
1707823639.202244,42497.000,4066,2,GZ,1,100,-1.831
1707823639.242468,42536.000,4066,2,GZ,1,100,-0.214
1707823639.282348,42574.667,4083,3,GZ,1,100,-1.892
1707823639.322228,42613.333,4083,3,GZ,1,100,-2.625
1707823639.362107,42652.000,4083,3,GZ,1,100,-2.716
1707823639.401300,42690.000,4098,2,GZ,1,100,-0.610
1707823639.440492,42728.000,4098,2,GZ,1,100,2.960
1707823639.480716,42767.000,4115,3,GZ,1,100,1.862
1707823639.520940,42806.000,4115,3,GZ,1,100,-1.221
1707823639.561164,42845.000,4115,3,GZ,1,100,-0.153
1707823639.601387,42884.000,4132,3,GZ,1,100,-1.495
1707823639.641611,42923.000,4132,3,GZ,1,100,-3.967
1707823639.681835,42962.000,4132,3,GZ,1,100,-3.571
1707823639.722059,43001.000,4151,2,GZ,1,100,1.160
1707823639.762282,43040.000,4151,2,GZ,1,100,2.502
1707823639.802162,43078.667,4165,3,GZ,1,100,0.519
1707823639.842042,43117.333,4165,3,GZ,1,100,-0.793
1707823639.881922,43156.000,4165,3,GZ,1,100,-2.991
1707823639.921630,43194.500,4183,2,GZ,1,100,-1.953
1707823639.961338,43233.000,4183,2,GZ,1,100,-0.885
1707823640.000531,43271.000,4199,3,GZ,1,100,-0.397
1707823640.039723,43309.000,4199,3,GZ,1,100,-1.007
1707823640.078916,43347.000,4199,3,GZ,1,100,-1.099
1707823640.119139,43386.000,4216,3,GZ,1,100,-0.946
1707823640.159363,43425.000,4216,3,GZ,1,100,-1.556
1707823640.199587,43464.000,4216,3,GZ,1,100,-1.831
1707823640.240326,43503.500,4231,2,GZ,1,100,-1.587
1707823640.281066,43543.000,4231,2,GZ,1,100,-1.434
1707823640.320946,43581.667,4248,3,GZ,1,100,-1.038
1707823640.360826,43620.333,4248,3,GZ,1,100,-0.458
1707823640.400706,43659.000,4248,3,GZ,1,100,2.625
1707823640.440414,43697.500,4264,2,GZ,1,100,1.373
1707823640.480122,43736.000,4264,2,GZ,1,100,-1.343
1707823640.520002,43774.667,4283,3,GZ,1,100,-1.587
1707823640.559882,43813.333,4283,3,GZ,1,100,-0.641
1707823640.599762,43852.000,4283,3,GZ,1,100,-0.580
1707823640.639298,43890.333,4300,3,GZ,1,100,-1.190
1707823640.678834,43928.667,4300,3,GZ,1,100,-0.732
1707823640.718370,43967.000,4300,3,GZ,1,100,-0.427
1707823640.759625,44007.000,4315,2,GZ,1,100,0.458
1707823640.800880,44047.000,4315,2,GZ,1,100,0.244
1707823640.840073,44085.000,4331,3,GZ,1,100,-0.488
1707823640.879265,44123.000,4331,3,GZ,1,100,-0.275
1707823640.918458,44161.000,4331,3,GZ,1,100,0.580
1707823640.957994,44199.333,4349,3,GZ,1,100,0.854
1707823640.997530,44237.667,4349,3,GZ,1,100,1.740
1707823641.037066,44276.000,4349,3,GZ,1,100,0.427
1707823641.076946,44314.667,4372,3,GZ,1,100,-1.068
1707823641.116826,44353.333,4372,3,GZ,1,100,-0.519
1707823641.156706,44392.000,4372,3,GZ,1,100,-0.061
1707823641.196586,44430.667,4389,3,GZ,1,100,-0.549
1707823641.236466,44469.333,4389,3,GZ,1,100,-0.946
1707823641.276346,44508.000,4389,3,GZ,1,100,0.275
1707823641.316570,44547.000,4406,2,GZ,1,100,0.000
1707823641.356793,44586.000,4406,2,GZ,1,100,-0.885
1707823641.396673,44624.667,4423,3,GZ,1,100,-0.305
1707823641.436553,44663.333,4423,3,GZ,1,100,0.427
1707823641.476433,44702.000,4423,3,GZ,1,100,-0.031
1707823641.510813,44735.333,4439,3,GZ,1,100,0.183
1707823641.545192,44768.667,4439,3,GZ,1,100,0.885
1707823641.579571,44802.000,4439,3,GZ,1,100,0.122
1707823641.619451,44840.667,4457,3,GZ,1,100,-0.366
1707823641.659331,44879.333,4457,3,GZ,1,100,-0.763
1707823641.699211,44918.000,4457,3,GZ,1,100,-1.617
1707823641.738919,44956.500,4473,2,GZ,1,100,-0.793
1707823641.778627,44995.000,4473,2,GZ,1,100,1.038
1707823641.819882,45035.000,4490,3,GZ,1,100,0.092
1707823641.861137,45075.000,4490,3,GZ,1,100,-1.648
1707823641.902393,45115.000,4490,3,GZ,1,100,-1.038
1707823641.942101,45153.500,4505,2,GZ,1,100,0.458
1707823641.981809,45192.000,4505,2,GZ,1,100,-0.336
1707823642.021689,45230.667,4522,3,GZ,1,100,-0.763
1707823642.061569,45269.333,4522,3,GZ,1,100,-0.061
1707823642.101449,45308.000,4522,3,GZ,1,100,-0.092
1707823642.140985,45346.333,4538,3,GZ,1,100,-0.122
1707823642.180521,45384.667,4538,3,GZ,1,100,-0.031
1707823642.220057,45423.000,4538,3,GZ,1,100,-0.275
1707823642.260023,45461.750,4558,4,GZ,1,100,-0.183
1707823642.299989,45500.500,4558,4,GZ,1,100,-0.183
1707823642.339955,45539.250,4558,4,GZ,1,100,-0.397
1707823642.379921,45578.000,4558,4,GZ,1,100,-0.031
1707823642.420832,45617.667,4574,3,GZ,1,100,-0.183
1707823642.461744,45657.333,4574,3,GZ,1,100,-0.397
1707823642.502655,45697.000,4574,3,GZ,1,100,-0.214
1707823642.542363,45735.500,4591,2,GZ,1,100,-0.366
1707823642.582071,45774.000,4591,2,GZ,1,100,0.183
1707823642.622295,45813.000,4608,3,GZ,1,100,0.061
1707823642.662519,45852.000,4608,3,GZ,1,100,0.061
1707823642.702742,45891.000,4608,3,GZ,1,100,0.061
1707823642.741935,45929.000,4623,2,GZ,1,100,-0.244
1707823642.781127,45967.000,4623,2,GZ,1,100,-0.763
1707823642.820663,46005.333,4639,3,GZ,1,100,-0.244
1707823642.860199,46043.667,4639,3,GZ,1,100,-0.153
1707823642.899736,46082.000,4639,3,GZ,1,100,-0.854
1707823642.939959,46121.000,4657,4,GZ,1,100,-0.549
1707823642.980183,46160.000,4657,4,GZ,1,100,0.031
1707823643.020407,46199.000,4657,4,GZ,1,100,-0.488
1707823643.060631,46238.000,4657,4,GZ,1,100,-0.641
1707823643.101370,46277.500,4675,2,GZ,1,100,-0.458
1707823643.142110,46317.000,4675,2,GZ,1,100,-0.275
1707823643.181990,46355.667,4692,3,GZ,1,100,0.214
1707823643.221869,46394.333,4692,3,GZ,1,100,0.183
1707823643.261749,46433.000,4692,3,GZ,1,100,-0.366
1707823643.301286,46471.333,4709,3,GZ,1,100,-0.366
1707823643.340822,46509.667,4709,3,GZ,1,100,0.031
1707823643.380358,46548.000,4709,3,GZ,1,100,-0.336
1707823643.419550,46586.000,4724,2,GZ,1,100,-0.916
1707823643.458743,46624.000,4724,2,GZ,1,100,0.092
1707823643.498623,46662.667,4740,3,GZ,1,100,0.458
1707823643.538503,46701.333,4740,3,GZ,1,100,-0.671
1707823643.578383,46740.000,4740,3,GZ,1,100,-1.007
1707823643.618606,46779.000,4758,3,GZ,1,100,-0.305
1707823643.658830,46818.000,4758,3,GZ,1,100,-0.153
1707823643.699054,46857.000,4758,3,GZ,1,100,-0.214
1707823643.739621,46896.333,4776,3,GZ,1,100,-0.671
1707823643.780189,46935.667,4776,3,GZ,1,100,-0.488
1707823643.820757,46975.000,4776,3,GZ,1,100,-0.183
1707823643.856167,47009.333,4793,3,GZ,1,100,0.092
1707823643.891578,47043.667,4793,3,GZ,1,100,-0.275
1707823643.926989,47078.000,4793,3,GZ,1,100,-0.366
1707823643.966525,47116.333,4812,3,GZ,1,100,0.549
1707823644.006061,47154.667,4812,3,GZ,1,100,1.495
1707823644.045597,47193.000,4812,3,GZ,1,100,0.488
1707823644.086852,47233.000,4827,2,GZ,1,100,-0.458
1707823644.128107,47273.000,4827,2,GZ,1,100,-0.488
1707823644.168331,47312.000,4843,3,GZ,1,100,-0.366
1707823644.208555,47351.000,4843,3,GZ,1,100,-0.092
1707823644.248779,47390.000,4843,3,GZ,1,100,0.214
1707823644.288745,47428.750,4861,4,GZ,1,100,-0.031
1707823644.328710,47467.500,4861,4,GZ,1,100,-0.366
1707823644.368676,47506.250,4861,4,GZ,1,100,1.312
