LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1707823634.254721,37700.000,3281,3,MZ,1,100,-2
1707823634.293914,37738.000,3299,2,MZ,1,100,-3
1707823634.333106,37776.000,3299,2,MZ,1,100,-3
1707823634.373330,37815.000,3315,3,MZ,1,100,-4
1707823634.413554,37854.000,3315,3,MZ,1,100,-3
1707823634.453777,37893.000,3315,3,MZ,1,100,-3
1707823634.488844,37927.000,3332,3,MZ,1,100,-4
1707823634.523911,37961.000,3332,3,MZ,1,100,-3
1707823634.558978,37995.000,3332,3,MZ,1,100,-3
1707823634.598858,38033.667,3349,3,MZ,1,100,-2
1707823634.638738,38072.333,3349,3,MZ,1,100,-3
1707823634.678618,38111.000,3349,3,MZ,1,100,-3
1707823634.718326,38149.500,3366,2,MZ,1,100,-4
1707823634.758034,38188.000,3366,2,MZ,1,100,-3
1707823634.797570,38226.333,3382,3,MZ,1,100,-4
1707823634.837106,38264.667,3382,3,MZ,1,100,-3
1707823634.876643,38303.000,3382,3,MZ,1,100,-4
1707823634.916866,38342.000,3400,3,MZ,1,100,-2
1707823634.957090,38381.000,3400,3,MZ,1,100,-2
1707823634.997314,38420.000,3400,3,MZ,1,100,-3
1707823635.038053,38459.500,3414,2,MZ,1,100,-3
1707823635.078793,38499.000,3414,2,MZ,1,100,-2
1707823635.118673,38537.667,3431,3,MZ,1,100,-3
1707823635.158553,38576.333,3431,3,MZ,1,100,-3
1707823635.198433,38615.000,3431,3,MZ,1,100,-4
1707823635.238141,38653.500,3447,2,MZ,1,100,-4
1707823635.277849,38692.000,3447,2,MZ,1,100,-3
1707823635.317729,38730.667,3465,3,MZ,1,100,-1
1707823635.357609,38769.333,3465,3,MZ,1,100,-3
1707823635.397489,38808.000,3465,3,MZ,1,100,-2
1707823635.437369,38846.667,3483,3,MZ,1,100,-3
1707823635.477249,38885.333,3483,3,MZ,1,100,-3
1707823635.517129,38924.000,3483,3,MZ,1,100,-3
1707823635.557352,38963.000,3498,2,MZ,1,100,-3
1707823635.597576,39002.000,3498,2,MZ,1,100,-3
1707823635.637112,39040.333,3515,3,MZ,1,100,-3
1707823635.676648,39078.667,3515,3,MZ,1,100,-3
1707823635.716185,39117.000,3515,3,MZ,1,100,-3
1707823635.755996,39155.600,3535,5,MZ,1,100,-4
1707823635.795807,39194.200,3535,5,MZ,1,100,-3
1707823635.835618,39232.800,3535,5,MZ,1,100,-3
1707823635.875429,39271.400,3535,5,MZ,1,100,-3
1707823635.915241,39310.000,3535,5,MZ,1,100,-3
1707823635.955121,39348.667,3551,3,MZ,1,100,-3
1707823635.995001,39387.333,3551,3,MZ,1,100,-3
1707823636.034881,39426.000,3551,3,MZ,1,100,-1
1707823636.074589,39464.500,3567,2,MZ,1,100,-2
1707823636.114297,39503.000,3567,2,MZ,1,100,-2
1707823636.154177,39541.667,3584,3,MZ,1,100,-2
1707823636.194057,39580.333,3584,3,MZ,1,100,-3
1707823636.233937,39619.000,3584,3,MZ,1,100,-3
1707823636.273129,39657.000,3601,3,MZ,1,100,-2
1707823636.312321,39695.000,3601,3,MZ,1,100,-3
1707823636.351514,39733.000,3601,3,MZ,1,100,-4
1707823636.391738,39772.000,3620,2,MZ,1,100,-3
1707823636.431961,39811.000,3620,2,MZ,1,100,-1
1707823636.471841,39849.667,3634,3,MZ,1,100,-3
1707823636.511721,39888.333,3634,3,MZ,1,100,-3
1707823636.551601,39927.000,3634,3,MZ,1,100,-3
1707823636.591309,39965.500,3652,2,MZ,1,100,-3
1707823636.631017,40004.000,3652,2,MZ,1,100,-2
1707823636.670553,40042.333,3668,3,MZ,1,100,-2
1707823636.710090,40080.667,3668,3,MZ,1,100,-3
1707823636.749626,40119.000,3668,3,MZ,1,100,-2
1707823636.784693,40153.000,3685,3,MZ,1,100,-4
1707823636.819760,40187.000,3685,3,MZ,1,100,-2
1707823636.854826,40221.000,3685,3,MZ,1,100,-3
1707823636.895050,40260.000,3700,2,MZ,1,100,-4
1707823636.935274,40299.000,3700,2,MZ,1,100,-3
1707823636.974810,40337.333,3717,3,MZ,1,100,-4
1707823637.014346,40375.667,3717,3,MZ,1,100,-3
