Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Qitem,leftopt,rightopt,stim,ANSWER,introtext,prestext,intro_text,Home,Status,Away,Checker,intro_stim,category,item,condition,duration,list,order,post_text,snippet,type
29,1707824197752,13/02/2024 11:36:37,1707824197109,0,13/02/2024 11:36:37,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,2,1,5,empathy,empathyslider2,response_slider_endValue,5530.80000000447,,,26,,0,1,0,,,,,1,cluster_pres,,,,pizza.mp4,,,,,,,,,pizza_man.mp4,cluster,pizza,man,115,a,9,,,
30,1707824197752,13/02/2024 11:36:37,1707824197109,0,13/02/2024 11:36:37,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,2,1,5,empathy,continue_button,continue_button,5530.80000000447,,,,,0,1,0,,,,,1,cluster_pres,,,,pizza.mp4,,,,,,,,,pizza_man.mp4,cluster,pizza,man,115,a,9,,,
31,1707824197752,13/02/2024 11:36:37,1707824197111,0,13/02/2024 11:36:37,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,,,END TASK,,,,,202177,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1707824273169,13/02/2024 11:37:53,1707824273077,0,13/02/2024 11:37:53,123845,3,task-3v6u,,35087366,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,AV block multiple stim types,94,testing,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1707824275842,13/02/2024 11:37:55,1707824275810,0,13/02/2024 11:37:55,123845,3,task-3v6u,,35087366,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,AV block multiple stim types,94,testing,testing,1,1,1,prep,advancementZone,continue_button,1680.0000000000002,,,,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
3,1707824339774,13/02/2024 11:38:59,1707824339690,0,13/02/2024 11:38:59,123845,3,task-3v6u,,35087366,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,AV block multiple stim types,94,testing,testing,1,1,2,stimuli,Zone1,content_video,63906.000000000015,,,,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
4,1707824343875,13/02/2024 11:39:03,1707824343471,0,13/02/2024 11:39:03,123845,3,task-3v6u,,35087366,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,AV block multiple stim types,94,testing,testing,1,1,3,familiarity,showfam,response_slider_firstInteraction,3783,,,75,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
5,1707824344779,13/02/2024 11:39:04,1707824344670,0,13/02/2024 11:39:04,123845,3,task-3v6u,,35087366,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,AV block multiple stim types,94,testing,testing,1,1,3,familiarity,scenefam,response_slider_firstInteraction,4984,,,0,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
6,1707824346040,13/02/2024 11:39:06,1707824345856,0,13/02/2024 11:39:05,123845,3,task-3v6u,,35087366,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,AV block multiple stim types,94,testing,testing,1,1,3,familiarity,showfam,response_slider_endValue,6155,,,75,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
7,1707824346465,13/02/2024 11:39:06,1707824345858,0,13/02/2024 11:39:05,123845,3,task-3v6u,,35087366,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,AV block multiple stim types,94,testing,testing,1,1,3,familiarity,scenefam,response_slider_endValue,6155,,,0,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
