LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1707824244.364631,629353.000,32724,2,GY,1,100,-0.336
1707824244.404568,629391.750,32741,4,GY,1,100,0.061
1707824244.444505,629430.500,32741,4,GY,1,100,-0.793
1707824244.484442,629469.250,32741,4,GY,1,100,-0.488
1707824244.524379,629508.000,32741,4,GY,1,100,-0.031
1707824244.564574,629547.000,32758,2,GY,1,100,-0.305
1707824244.604768,629586.000,32758,2,GY,1,100,-0.092
1707824244.644276,629624.333,32775,3,GY,1,100,-0.336
1707824244.683783,629662.667,32775,3,GY,1,100,-0.397
1707824244.723291,629701.000,32775,3,GY,1,100,0.153
1707824244.762455,629739.000,32792,2,GY,1,100,-0.153
1707824244.801619,629777.000,32792,2,GY,1,100,-0.519
1707824244.841470,629815.667,32808,3,GY,1,100,-0.183
1707824244.881321,629854.333,32808,3,GY,1,100,-0.549
1707824244.921172,629893.000,32808,3,GY,1,100,-0.641
1707824244.961023,629931.667,32825,3,GY,1,100,-0.488
1707824245.000874,629970.333,32825,3,GY,1,100,-0.458
1707824245.040725,630009.000,32825,3,GY,1,100,-0.519
1707824245.075766,630043.000,32842,3,GY,1,100,0.061
1707824245.110808,630077.000,32842,3,GY,1,100,-0.458
1707824245.145849,630111.000,32842,3,GY,1,100,-0.885
1707824245.186044,630150.000,32859,3,GY,1,100,-0.427
1707824245.226238,630189.000,32859,3,GY,1,100,-0.671
1707824245.266433,630228.000,32859,3,GY,1,100,-0.671
1707824245.305597,630266.000,32873,3,GY,1,100,-0.305
1707824245.344761,630304.000,32873,3,GY,1,100,-0.305
1707824245.383925,630342.000,32873,3,GY,1,100,-0.336
1707824245.423604,630380.500,32891,2,GY,1,100,-0.336
1707824245.463283,630419.000,32891,2,GY,1,100,-0.610
1707824245.503134,630457.667,32909,3,GY,1,100,-0.763
1707824245.542985,630496.333,32909,3,GY,1,100,-0.549
1707824245.582836,630535.000,32909,3,GY,1,100,-0.458
1707824245.623718,630574.667,32926,3,GY,1,100,-0.610
1707824245.664600,630614.333,32926,3,GY,1,100,-0.427
1707824245.705482,630654.000,32926,3,GY,1,100,-0.641
1707824245.745333,630692.667,32943,3,GY,1,100,-0.885
1707824245.785184,630731.333,32943,3,GY,1,100,-0.671
1707824245.825035,630770.000,32943,3,GY,1,100,-0.336
1707824245.865229,630809.000,32960,2,GY,1,100,-0.763
1707824245.905424,630848.000,32960,2,GY,1,100,-0.397
1707824245.944244,630885.667,32974,3,GY,1,100,0.244
1707824245.983065,630923.333,32974,3,GY,1,100,-1.129
1707824246.021885,630961.000,32974,3,GY,1,100,-1.099
1707824246.061736,630999.667,32992,3,GY,1,100,-0.275
1707824246.101587,631038.333,32992,3,GY,1,100,-0.641
1707824246.141438,631077.000,32992,3,GY,1,100,-0.641
1707824246.181118,631115.500,33008,2,GY,1,100,-0.366
1707824246.220797,631154.000,33008,2,GY,1,100,-0.275
1707824246.261678,631193.667,33025,3,GY,1,100,0.275
1707824246.302560,631233.333,33025,3,GY,1,100,0.916
1707824246.343442,631273.000,33025,3,GY,1,100,0.214
