LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1707824242.353871,627402.000,32407,3,PG,1,100,10189
1707824242.393808,627440.750,32424,4,PG,1,100,10200
1707824242.433745,627479.500,32424,4,PG,1,100,10215
1707824242.473682,627518.250,32424,4,PG,1,100,10234
1707824242.513619,627557.000,32424,4,PG,1,100,10251
1707824242.552783,627595.000,32441,3,PG,1,100,10256
1707824242.591947,627633.000,32441,3,PG,1,100,10190
1707824242.631111,627671.000,32441,3,PG,1,100,10073
1707824242.670790,627709.500,32457,2,PG,1,100,9992
1707824242.710469,627748.000,32457,2,PG,1,100,9951
1707824242.751351,627787.667,32476,3,PG,1,100,9917
1707824242.792233,627827.333,32476,3,PG,1,100,9923
1707824242.833114,627867.000,32476,3,PG,1,100,9936
1707824242.872793,627905.500,32491,2,PG,1,100,9949
1707824242.912473,627944.000,32491,2,PG,1,100,9959
1707824242.952324,627982.667,32510,3,PG,1,100,9968
1707824242.992175,628021.333,32510,3,PG,1,100,9985
1707824243.032026,628060.000,32510,3,PG,1,100,10007
1707824243.071963,628098.750,32527,4,PG,1,100,10031
1707824243.111900,628137.500,32527,4,PG,1,100,10049
1707824243.151837,628176.250,32527,4,PG,1,100,10068
1707824243.191774,628215.000,32527,4,PG,1,100,10103
1707824243.231453,628253.500,32544,2,PG,1,100,10116
1707824243.271132,628292.000,32544,2,PG,1,100,10128
1707824243.311670,628331.333,32561,3,PG,1,100,10155
1707824243.352208,628370.667,32561,3,PG,1,100,10174
1707824243.392747,628410.000,32561,3,PG,1,100,10174
1707824243.432941,628449.000,32578,2,PG,1,100,10100
1707824243.473136,628488.000,32578,2,PG,1,100,9984
1707824243.512987,628526.667,32592,3,PG,1,100,9917
1707824243.552838,628565.333,32592,3,PG,1,100,9872
1707824243.592689,628604.000,32592,3,PG,1,100,9839
1707824243.632540,628642.667,32614,3,PG,1,100,9855
1707824243.672391,628681.333,32614,3,PG,1,100,9866
1707824243.712242,628720.000,32614,3,PG,1,100,9877
1707824243.751921,628758.500,32633,4,PG,1,100,9885
1707824243.791601,628797.000,32633,4,PG,1,100,9897
1707824243.831280,628835.500,32633,4,PG,1,100,9931
1707824243.870959,628874.000,32633,4,PG,1,100,9949
1707824243.910123,628912.000,32650,2,PG,1,100,9967
1707824243.949287,628950.000,32650,2,PG,1,100,10001
