LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1707824243.446855,628462.500,32586,2,GZ,1,100,-0.122
1707824243.486534,628501.000,32586,2,GZ,1,100,-0.153
1707824243.526385,628539.667,32602,3,GZ,1,100,-0.275
1707824243.566236,628578.333,32602,3,GZ,1,100,-0.244
1707824243.606087,628617.000,32602,3,GZ,1,100,-0.397
1707824243.645938,628655.667,32624,3,GZ,1,100,-0.244
1707824243.685789,628694.333,32624,3,GZ,1,100,-0.244
1707824243.725640,628733.000,32624,3,GZ,1,100,-0.214
1707824243.765491,628771.667,32643,3,GZ,1,100,-0.336
1707824243.805342,628810.333,32643,3,GZ,1,100,-0.275
1707824243.845193,628849.000,32643,3,GZ,1,100,0.000
1707824243.884701,628887.333,32660,3,GZ,1,100,-0.153
1707824243.924208,628925.667,32660,3,GZ,1,100,-0.092
1707824243.963716,628964.000,32660,3,GZ,1,100,-0.122
1707824244.004254,629003.333,32677,3,GZ,1,100,-0.183
1707824244.044792,629042.667,32677,3,GZ,1,100,-0.244
1707824244.085330,629082.000,32677,3,GZ,1,100,-0.275
1707824244.125525,629121.000,32692,2,GZ,1,100,-0.214
1707824244.165719,629160.000,32692,2,GZ,1,100,-0.122
1707824244.205571,629198.667,32708,3,GZ,1,100,-0.183
1707824244.245422,629237.333,32708,3,GZ,1,100,-0.336
1707824244.285273,629276.000,32708,3,GZ,1,100,-0.458
1707824244.324952,629314.500,32725,2,GZ,1,100,-0.183
1707824244.364631,629353.000,32725,2,GZ,1,100,-0.214
1707824244.404568,629391.750,32742,4,GZ,1,100,-0.153
1707824244.444505,629430.500,32742,4,GZ,1,100,-0.183
1707824244.484442,629469.250,32742,4,GZ,1,100,-0.092
1707824244.524379,629508.000,32742,4,GZ,1,100,-0.092
1707824244.564574,629547.000,32759,2,GZ,1,100,-0.183
1707824244.604768,629586.000,32759,2,GZ,1,100,-0.122
1707824244.644276,629624.333,32776,3,GZ,1,100,-0.031
1707824244.683783,629662.667,32776,3,GZ,1,100,-0.061
1707824244.723291,629701.000,32776,3,GZ,1,100,-0.061
1707824244.762455,629739.000,32793,2,GZ,1,100,-0.031
1707824244.801619,629777.000,32793,2,GZ,1,100,-0.244
1707824244.841470,629815.667,32809,3,GZ,1,100,-0.244
1707824244.881321,629854.333,32809,3,GZ,1,100,-0.305
1707824244.921172,629893.000,32809,3,GZ,1,100,-0.275
1707824244.961023,629931.667,32826,3,GZ,1,100,-0.275
1707824245.000874,629970.333,32826,3,GZ,1,100,-0.244
