LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1707824244.881321,629854.333,32798,3,PR,1,100,151068
1707824244.921172,629893.000,32798,3,PR,1,100,151080
1707824244.961023,629931.667,32815,3,PR,1,100,151096
1707824245.000874,629970.333,32815,3,PR,1,100,151120
1707824245.040725,630009.000,32815,3,PR,1,100,151156
1707824245.080232,630047.333,32832,3,PR,1,100,151177
1707824245.119740,630085.667,32832,3,PR,1,100,151162
1707824245.159247,630124.000,32832,3,PR,1,100,150949
1707824245.199098,630162.667,32849,3,PR,1,100,150768
1707824245.238949,630201.333,32849,3,PR,1,100,150736
1707824245.278800,630240.000,32849,3,PR,1,100,150718
1707824245.317964,630278.000,32865,2,PR,1,100,150739
1707824245.357128,630316.000,32865,2,PR,1,100,150796
1707824245.396636,630354.333,32881,3,PR,1,100,150839
1707824245.436143,630392.667,32881,3,PR,1,100,150847
1707824245.475651,630431.000,32881,3,PR,1,100,150868
1707824245.515845,630470.000,32899,3,PR,1,100,150899
1707824245.556040,630509.000,32899,3,PR,1,100,150940
1707824245.596235,630548.000,32899,3,PR,1,100,150960
1707824245.636945,630587.500,32916,2,PR,1,100,150989
1707824245.677654,630627.000,32916,2,PR,1,100,151036
1707824245.718193,630666.333,32933,3,PR,1,100,151058
1707824245.758731,630705.667,32933,3,PR,1,100,151086
1707824245.799269,630745.000,32933,3,PR,1,100,151128
1707824245.839120,630783.667,32950,3,PR,1,100,151139
1707824245.878971,630822.333,32950,3,PR,1,100,151163
1707824245.918822,630861.000,32950,3,PR,1,100,151195
1707824245.957299,630898.333,32966,3,PR,1,100,151147
