LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1707824247.261734,632164.000,33154,2,EA,1,100,4.093026
1707824247.327694,632228.000,33154,2,EA,1,100,4.085768
1707824247.394685,632293.000,33172,3,EA,1,100,4.112502
1707824247.461676,632358.000,33172,3,EA,1,100,4.095440
1707824247.528667,632423.000,33172,3,EA,1,100,4.076126
1707824247.595658,632488.000,33190,4,EA,1,100,4.097890
1707824247.662649,632553.000,33190,4,EA,1,100,4.102749
1707824247.729640,632618.000,33190,4,EA,1,100,4.095440
1707824247.796631,632683.000,33190,4,EA,1,100,4.119855
1707824247.863107,632747.500,33208,2,EA,1,100,4.105175
1707824247.929582,632812.000,33208,2,EA,1,100,4.078537
1707824247.994512,632875.000,33224,1,EA,1,100,4.107620
1707824248.060472,632939.000,33242,2,EA,1,100,4.107620
1707824248.126433,633003.000,33242,2,EA,1,100,4.080933
1707824248.193424,633068.000,33259,1,EA,1,100,4.102749
1707824248.259899,633132.500,33275,2,EA,1,100,4.102749
1707824248.326375,633197.000,33275,2,EA,1,100,4.076126
1707824248.392335,633261.000,33293,1,EA,1,100,4.095440
1707824248.458811,633325.500,33307,2,EA,1,100,4.107620
1707824248.525287,633390.000,33307,2,EA,1,100,4.090615
1707824248.590732,633453.500,33324,2,EA,1,100,4.102749
1707824248.656177,633517.000,33324,2,EA,1,100,4.110068
1707824248.723168,633582.000,33341,1,EA,1,100,4.083349
1707824248.789128,633646.000,33358,2,EA,1,100,4.100310
1707824248.855088,633710.000,33358,2,EA,1,100,4.122334
1707824248.921392,633774.333,33382,3,EA,1,100,4.083349
1707824248.987696,633838.667,33382,3,EA,1,100,4.100310
1707824249.054000,633903.000,33382,3,EA,1,100,4.114972
1707824249.122022,633969.000,33399,1,EA,1,100,4.080933
1707824249.187982,634033.000,33415,2,EA,1,100,4.100310
1707824249.253942,634097.000,33415,2,EA,1,100,4.117412
1707824249.317842,634159.000,33432,1,EA,1,100,4.090615
1707824249.383802,634223.000,33447,2,EA,1,100,4.097890
1707824249.449762,634287.000,33447,2,EA,1,100,4.102749
1707824249.516238,634351.500,33464,2,EA,1,100,4.095440
1707824249.582714,634416.000,33464,2,EA,1,100,4.105175
1707824249.648674,634480.000,33480,1,EA,1,100,4.129706
1707824249.715150,634544.500,33498,2,EA,1,100,4.093026
1707824249.781625,634609.000,33498,2,EA,1,100,4.090615
1707824249.847586,634673.000,33516,1,EA,1,100,4.105175
1707824249.913546,634737.000,33531,2,EA,1,100,4.073735
1707824249.979506,634801.000,33531,2,EA,1,100,4.068928
1707824250.046497,634866.000,33548,1,EA,1,100,4.100310
1707824250.112973,634930.500,33565,2,EA,1,100,4.083349
1707824250.179449,634995.000,33565,2,EA,1,100,4.076126
1707824250.244378,635058.000,33581,1,EA,1,100,4.105175
1707824250.310854,635122.500,33598,2,EA,1,100,4.090615
1707824250.377330,635187.000,33598,2,EA,1,100,4.090615
1707824250.443805,635251.500,33613,2,EA,1,100,4.112502
1707824250.510281,635316.000,33613,2,EA,1,100,4.105175
1707824250.576241,635380.000,33630,1,EA,1,100,4.068928
1707824250.642717,635444.500,33649,2,EA,1,100,4.110068
1707824250.709193,635509.000,33649,2,EA,1,100,4.093026
1707824250.775153,635573.000,33666,1,EA,1,100,4.076126
1707824250.841629,635637.500,33680,2,EA,1,100,4.110068
1707824250.908105,635702.000,33680,2,EA,1,100,4.093026
1707824250.974065,635766.000,33697,1,EA,1,100,4.073735
1707824251.042602,635832.500,33714,2,EA,1,100,4.093026
1707824251.111139,635899.000,33714,2,EA,1,100,4.097890
1707824251.177614,635963.500,33731,2,EA,1,100,4.073735
1707824251.244090,636028.000,33731,2,EA,1,100,4.100310
1707824251.309020,636091.000,33747,1,EA,1,100,4.093026
1707824251.375495,636155.500,33763,2,EA,1,100,4.068928
1707824251.441971,636220.000,33763,2,EA,1,100,4.090615
1707824251.511023,636287.000,33779,1,EA,1,100,4.097890
