"","category","item","stim","condition","edv","gid","dyad","pid1","pid2","RR","DET","NRLINE","maxL","L","ENTR","rENTR","LAM","TT","catH","win","TREND","t","use"
"76","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",11.5384615384615,29.4871794871795,5,4.6,4.6,0.673011667009257,0.970950594454669,69.2307692307692,3,NA,76,NA,50.6666666666667,1
"77","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",12.7218934911243,25.5813953488372,5,4.4,4.4,0.673011667009257,0.970950594454669,76.7441860465116,3.3,NA,77,NA,51.3333333333333,1
"78","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",11.3905325443787,58.4415584415584,9,5,5,1.21488965394912,0.876357639489852,77.9220779220779,4,NA,78,NA,52,1
"79","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",12.1301775147929,NA,0,0,0,NA,NA,0,0,NA,79,NA,52.6666666666667,1
"80","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",10.6508875739645,18.0555555555556,3,4.33333333333333,4.33333333333333,0.636514168294813,0.918295834054489,56.9444444444444,2.73333333333333,NA,80,NA,53.3333333333333,1
"81","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",7.84023668639053,NA,0,0,0,NA,NA,0,0,NA,81,NA,54,1
"82","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",6.65680473372781,NA,0,0,0,NA,NA,0,0,NA,82,NA,54.6666666666667,1
"83","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",7.10059171597633,NA,0,0,0,NA,NA,0,0,NA,83,NA,55.3333333333333,1
"84","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",5.62130177514793,NA,0,0,0,NA,NA,0,0,NA,84,NA,56,1
"85","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",9.02366863905326,14.7540983606557,2,4.5,4.5,0.693147180559945,1,44.2622950819672,2.45454545454545,NA,85,NA,56.6666666666667,1
"86","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",0,NA,0,0,0,NA,NA,NA,NA,NA,86,NA,57.3333333333333,1
"87","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",10.5029585798817,5.63380281690141,1,4,4,0,NA,25.3521126760563,2.25,NA,1,NA,0.666666666666667,1
"88","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",3.99408284023669,NA,0,0,0,NA,NA,0,0,NA,2,NA,1.33333333333333,1
"89","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",4.14201183431953,NA,0,0,0,NA,NA,0,0,NA,3,NA,2,1
"90","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",12.2781065088757,NA,0,0,0,NA,NA,0,0,NA,4,NA,2.66666666666667,1
"91","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",8.13609467455621,50.9090909090909,6,4.66666666666667,4.66666666666667,0.636514168294813,0.918295834054489,61.8181818181818,3.77777777777778,NA,5,NA,3.33333333333333,1
"92","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",10.3550295857988,NA,0,0,0,NA,NA,0,0,NA,6,NA,4,1
