LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1707151683.890978,574383.000,25117,2,EL,1,100,-19148.400391
1707151683.959088,574449.000,25133,2,EL,1,100,-19149.000000
1707151684.027197,574515.000,25133,2,EL,1,100,-19149.800781
1707151684.095306,574581.000,25149,1,EL,1,100,-19151.000000
1707151684.161868,574645.500,25167,2,EL,1,100,-19151.599609
1707151684.228429,574710.000,25167,2,EL,1,100,-19152.800781
1707151684.293442,574773.000,25183,1,EL,1,100,-19153.000000
1707151684.360520,574838.000,25198,2,EL,1,100,-19153.800781
1707151684.427597,574903.000,25198,2,EL,1,100,-19154.199219
1707151684.495707,574969.000,25216,1,EL,1,100,-19155.000000
1707151684.562268,575033.500,25234,2,EL,1,100,-19155.800781
1707151684.628829,575098.000,25234,2,EL,1,100,-19156.400391
1707151684.694875,575162.000,25250,2,EL,1,100,-19157.000000
1707151684.760920,575226.000,25250,2,EL,1,100,-19157.000000
1707151684.827997,575291.000,25267,1,EL,1,100,-19157.000000
1707151684.894043,575355.000,25282,2,EL,1,100,-19156.800781
1707151684.960088,575419.000,25282,2,EL,1,100,-19156.599609
1707151685.029230,575486.000,25299,1,EL,1,100,-19156.199219
1707151685.096823,575551.500,25315,2,EL,1,100,-19155.800781
1707151685.164416,575617.000,25315,2,EL,1,100,-19155.000000
1707151685.230462,575681.000,25333,1,EL,1,100,-19154.800781
1707151685.296507,575745.000,25351,2,EL,1,100,-19154.800781
1707151685.362553,575809.000,25351,2,EL,1,100,-19154.199219
1707151685.430662,575875.000,25368,1,EL,1,100,-19154.199219
1707151685.496191,575938.500,25385,2,EL,1,100,-19154.000000
1707151685.561721,576002.000,25385,2,EL,1,100,-19153.000000
1707151685.629314,576067.500,25402,2,EL,1,100,-19153.000000
1707151685.696907,576133.000,25402,2,EL,1,100,-19153.000000
1707151685.763985,576198.000,25418,1,EL,1,100,-19152.400391
1707151685.830546,576262.500,25434,2,EL,1,100,-19152.400391
1707151685.897108,576327.000,25434,2,EL,1,100,-19152.000000
1707151685.963669,576391.500,25455,2,EL,1,100,-19151.599609
1707151686.030230,576456.000,25455,2,EL,1,100,-19151.199219
1707151686.096276,576520.000,25474,2,EL,1,100,-19151.000000
1707151686.162321,576584.000,25474,2,EL,1,100,-19150.599609
1707151686.228366,576648.000,25491,1,EL,1,100,-19151.000000
1707151686.296476,576714.000,25508,2,EL,1,100,-19151.000000
