LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1707151609.822087,502608.000,13578,2,AZ,1,100,-0.280
1707151609.861646,502646.333,13594,3,AZ,1,100,-0.284
1707151609.901204,502684.667,13594,3,AZ,1,100,-0.281
1707151609.940763,502723.000,13594,3,AZ,1,100,-0.279
1707151609.980665,502761.667,13611,3,AZ,1,100,-0.281
1707151610.020568,502800.333,13611,3,AZ,1,100,-0.281
1707151610.060470,502839.000,13611,3,AZ,1,100,-0.281
1707151610.100200,502877.500,13630,2,AZ,1,100,-0.280
1707151610.139931,502916.000,13630,2,AZ,1,100,-0.277
1707151610.180865,502955.667,13646,3,AZ,1,100,-0.280
1707151610.221800,502995.333,13646,3,AZ,1,100,-0.279
1707151610.262734,503035.000,13646,3,AZ,1,100,-0.279
1707151610.302980,503074.000,13664,3,AZ,1,100,-0.280
1707151610.343227,503113.000,13664,3,AZ,1,100,-0.280
1707151610.383473,503152.000,13664,3,AZ,1,100,-0.285
1707151610.423376,503190.667,13680,3,AZ,1,100,-0.282
1707151610.463278,503229.333,13680,3,AZ,1,100,-0.275
1707151610.503181,503268.000,13680,3,AZ,1,100,-0.280
1707151610.542911,503306.500,13697,2,AZ,1,100,-0.284
1707151610.582641,503345.000,13697,2,AZ,1,100,-0.279
1707151610.622200,503383.333,13714,3,AZ,1,100,-0.280
1707151610.661758,503421.667,13714,3,AZ,1,100,-0.280
1707151610.701317,503460.000,13714,3,AZ,1,100,-0.283
1707151610.741563,503499.000,13731,3,AZ,1,100,-0.284
1707151610.781810,503538.000,13731,3,AZ,1,100,-0.283
1707151610.822056,503577.000,13731,3,AZ,1,100,-0.279
1707151610.861787,503615.500,13747,2,AZ,1,100,-0.282
1707151610.901517,503654.000,13747,2,AZ,1,100,-0.282
1707151610.941075,503692.333,13764,3,AZ,1,100,-0.281
1707151610.980634,503730.667,13764,3,AZ,1,100,-0.282
1707151611.020192,503769.000,13764,3,AZ,1,100,-0.279
1707151611.060095,503807.667,13781,3,AZ,1,100,-0.281
1707151611.099997,503846.333,13781,3,AZ,1,100,-0.282
1707151611.139900,503885.000,13781,3,AZ,1,100,-0.281
1707151611.179802,503923.667,13798,3,AZ,1,100,-0.283
1707151611.219704,503962.333,13798,3,AZ,1,100,-0.285
1707151611.259607,504001.000,13798,3,AZ,1,100,-0.282
1707151611.299509,504039.667,13815,3,AZ,1,100,-0.281
1707151611.339412,504078.333,13815,3,AZ,1,100,-0.279
1707151611.379314,504117.000,13815,3,AZ,1,100,-0.282
1707151611.419045,504155.500,13832,2,AZ,1,100,-0.280
1707151611.458775,504194.000,13832,2,AZ,1,100,-0.283
1707151611.498334,504232.333,13848,3,AZ,1,100,-0.279
1707151611.537892,504270.667,13848,3,AZ,1,100,-0.280
1707151611.577450,504309.000,13848,3,AZ,1,100,-0.286
1707151611.617181,504347.500,13863,2,AZ,1,100,-0.282
1707151611.656911,504386.000,13863,2,AZ,1,100,-0.284
1707151611.696814,504424.667,13882,3,AZ,1,100,-0.281
1707151611.736716,504463.333,13882,3,AZ,1,100,-0.281
1707151611.776619,504502.000,13882,3,AZ,1,100,-0.283
1707151611.816521,504540.667,13899,3,AZ,1,100,-0.286
1707151611.856423,504579.333,13899,3,AZ,1,100,-0.282
1707151611.896326,504618.000,13899,3,AZ,1,100,-0.282
1707151611.936572,504657.000,13915,2,AZ,1,100,-0.283
1707151611.976819,504696.000,13915,2,AZ,1,100,-0.283
1707151612.016291,504734.250,13939,4,AZ,1,100,-0.281
1707151612.055764,504772.500,13939,4,AZ,1,100,-0.279
1707151612.095236,504810.750,13939,4,AZ,1,100,-0.283
1707151612.134709,504849.000,13939,4,AZ,1,100,-0.283
1707151612.172203,504885.333,13955,6,AZ,1,100,-0.274
1707151612.209698,504921.667,13955,6,AZ,1,100,-0.282
1707151612.247192,504958.000,13955,6,AZ,1,100,-0.285
1707151612.284687,504994.333,13955,6,AZ,1,100,-0.282
1707151612.322181,505030.667,13955,6,AZ,1,100,-0.282
1707151612.359676,505067.000,13955,6,AZ,1,100,-0.278
1707151612.400094,505106.167,13973,6,AZ,1,100,-0.282
1707151612.440513,505145.333,13973,6,AZ,1,100,-0.281
1707151612.480931,505184.500,13973,6,AZ,1,100,-0.280
1707151612.521349,505223.667,13973,6,AZ,1,100,-0.282
1707151612.561768,505262.833,13973,6,AZ,1,100,-0.282
1707151612.602186,505302.000,13973,6,AZ,1,100,-0.282
1707151612.641745,505340.333,13993,6,AZ,1,100,-0.283
1707151612.681303,505378.667,13993,6,AZ,1,100,-0.280
1707151612.720862,505417.000,13993,6,AZ,1,100,-0.282
1707151612.760420,505455.333,13993,6,AZ,1,100,-0.281
1707151612.799978,505493.667,13993,6,AZ,1,100,-0.281
1707151612.839537,505532.000,13993,6,AZ,1,100,-0.281
1707151612.879525,505570.750,14009,4,AZ,1,100,-0.282
1707151612.919514,505609.500,14009,4,AZ,1,100,-0.280
1707151612.959502,505648.250,14009,4,AZ,1,100,-0.282
1707151612.999491,505687.000,14009,4,AZ,1,100,-0.281
1707151613.040081,505726.333,14027,3,AZ,1,100,-0.278
1707151613.080671,505765.667,14027,3,AZ,1,100,-0.283
1707151613.121262,505805.000,14027,3,AZ,1,100,-0.280
1707151613.160992,505843.500,14043,2,AZ,1,100,-0.282
1707151613.200723,505882.000,14043,2,AZ,1,100,-0.281
1707151613.240625,505920.667,14060,3,AZ,1,100,-0.280
1707151613.280528,505959.333,14060,3,AZ,1,100,-0.282
1707151613.320430,505998.000,14060,3,AZ,1,100,-0.281
1707151613.360332,506036.667,14077,3,AZ,1,100,-0.278
1707151613.400235,506075.333,14077,3,AZ,1,100,-0.281
1707151613.440137,506114.000,14077,3,AZ,1,100,-0.281
1707151613.479868,506152.500,14094,2,AZ,1,100,-0.280
1707151613.519598,506191.000,14094,2,AZ,1,100,-0.280
1707151613.559587,506229.750,14110,4,AZ,1,100,-0.281
1707151613.599575,506268.500,14110,4,AZ,1,100,-0.281
1707151613.639563,506307.250,14110,4,AZ,1,100,-0.281
1707151613.679552,506346.000,14110,4,AZ,1,100,-0.281
1707151613.720314,506385.500,14128,2,AZ,1,100,-0.280
1707151613.761077,506425.000,14128,2,AZ,1,100,-0.280
1707151613.800979,506463.667,14144,3,AZ,1,100,-0.281
1707151613.840882,506502.333,14144,3,AZ,1,100,-0.281
1707151613.880784,506541.000,14144,3,AZ,1,100,-0.282
1707151613.920686,506579.667,14161,3,AZ,1,100,-0.280
1707151613.960589,506618.333,14161,3,AZ,1,100,-0.284
1707151614.000491,506657.000,14161,3,AZ,1,100,-0.282
1707151614.039706,506695.000,14177,2,AZ,1,100,-0.283
1707151614.078920,506733.000,14177,2,AZ,1,100,-0.283
1707151614.118823,506771.667,14193,3,AZ,1,100,-0.279
1707151614.158725,506810.333,14193,3,AZ,1,100,-0.279
1707151614.198627,506849.000,14193,3,AZ,1,100,-0.285
1707151614.238358,506887.500,14209,2,AZ,1,100,-0.282
1707151614.278088,506926.000,14209,2,AZ,1,100,-0.279
1707151614.319023,506965.667,14229,3,AZ,1,100,-0.278
1707151614.359957,507005.333,14229,3,AZ,1,100,-0.282
1707151614.400892,507045.000,14229,3,AZ,1,100,-0.283
1707151614.440794,507083.667,14245,3,AZ,1,100,-0.280
1707151614.480696,507122.333,14245,3,AZ,1,100,-0.281
1707151614.520599,507161.000,14245,3,AZ,1,100,-0.283
1707151614.560845,507200.000,14260,2,AZ,1,100,-0.281
1707151614.601092,507239.000,14260,2,AZ,1,100,-0.285
1707151614.635834,507272.667,14277,3,AZ,1,100,-0.282
1707151614.670577,507306.333,14277,3,AZ,1,100,-0.281
1707151614.705320,507340.000,14277,3,AZ,1,100,-0.280
1707151614.746254,507379.667,14294,3,AZ,1,100,-0.283
1707151614.787188,507419.333,14294,3,AZ,1,100,-0.281
1707151614.828123,507459.000,14294,3,AZ,1,100,-0.276
1707151614.868369,507498.000,14310,2,AZ,1,100,-0.285
1707151614.908616,507537.000,14310,2,AZ,1,100,-0.282
1707151614.948518,507575.667,14328,3,AZ,1,100,-0.280
1707151614.988420,507614.333,14328,3,AZ,1,100,-0.282
1707151615.028323,507653.000,14328,3,AZ,1,100,-0.277
1707151615.068053,507691.500,14342,2,AZ,1,100,-0.282
1707151615.107784,507730.000,14342,2,AZ,1,100,-0.283
1707151615.147686,507768.667,14359,3,AZ,1,100,-0.281
1707151615.187589,507807.333,14359,3,AZ,1,100,-0.280
1707151615.227491,507846.000,14359,3,AZ,1,100,-0.281
1707151615.267393,507884.667,14377,3,AZ,1,100,-0.281
1707151615.307296,507923.333,14377,3,AZ,1,100,-0.280
1707151615.347198,507962.000,14377,3,AZ,1,100,-0.282
1707151615.387445,508001.000,14397,2,AZ,1,100,-0.282
1707151615.427691,508040.000,14397,2,AZ,1,100,-0.281
1707151615.466562,508077.667,14412,3,AZ,1,100,-0.282
1707151615.505432,508115.333,14412,3,AZ,1,100,-0.281
1707151615.544303,508153.000,14412,3,AZ,1,100,-0.283
1707151615.584205,508191.667,14428,3,AZ,1,100,-0.280
1707151615.624107,508230.333,14428,3,AZ,1,100,-0.280
1707151615.664010,508269.000,14428,3,AZ,1,100,-0.283
1707151615.703912,508307.667,14445,3,AZ,1,100,-0.283
1707151615.743815,508346.333,14445,3,AZ,1,100,-0.280
1707151615.783717,508385.000,14445,3,AZ,1,100,-0.284
1707151615.823448,508423.500,14462,2,AZ,1,100,-0.283
1707151615.863178,508462.000,14462,2,AZ,1,100,-0.279
