eid,utc,trecon,dv,V1,sid,t,filter
blue8,1707824279.86436,0,ACC,1.03426495638207,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.864360Z,1
blue8,1707824279.90386,0,ACC,1.03509468165961,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.903860Z,1
blue8,1707824279.94372,0,ACC,1.0358938169523,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.943720Z,1
blue8,1707824279.98357,0,ACC,1.03641159777378,blue8_2024-02-13_11-37-17,2024-02-13T11:37:59.983570Z,1
blue8,1707824280.02342,0,ACC,1.03791859025648,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.023420Z,1
blue8,1707824280.06413,0,ACC,1.0348255891695,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.064130Z,1
blue8,1707824280.10484,0,ACC,1.03694647885028,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.104840Z,1
blue8,1707824280.14538,0,ACC,1.0321550271156,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.145380Z,1
blue8,1707824280.18591,0,ACC,1.03574417690856,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.185910Z,1
blue8,1707824280.22645,0,ACC,1.03282186266558,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.226450Z,1
blue8,1707824280.2663,0,ACC,1.03417358310875,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.266300Z,1
blue8,1707824280.30615,0,ACC,1.03870544429111,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.306150Z,1
blue8,1707824280.34601,0,ACC,1.03427897590544,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.346010Z,1
blue8,1707824280.38551,0,ACC,1.03666773847747,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.385510Z,1
blue8,1707824280.42502,0,ACC,1.03363920204296,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.425020Z,1
blue8,1707824280.46453,0,ACC,1.03522606226853,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.464530Z,1
blue8,1707824280.50369,0,ACC,1.03307986138536,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.503690Z,1
blue8,1707824280.54286,0,ACC,1.03297095796542,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.542860Z,1
blue8,1707824280.58279,0,ACC,1.03307986138536,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.582790Z,1
blue8,1707824280.62273,0,ACC,1.03056731948961,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.622730Z,1
blue8,1707824280.66267,0,ACC,1.03816857975957,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.662670Z,1
blue8,1707824280.7026,0,ACC,1.0334892355511,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.702600Z,1
blue8,1707824280.74349,0,ACC,1.03484201692819,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.743490Z,1
blue8,1707824280.78437,0,ACC,1.03786993404761,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.784370Z,1
blue8,1707824280.82525,0,ACC,1.0322877505812,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.825250Z,1
