tid,nid,eid,utc,trecon,dv,raw,sid,t,filter,pid,category,condition,item,stim,tt,norm
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.67778,0,ACC,0.99480098512215,red4_2024-02-13_11-27-08,1707823684.67778,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.2618899345398,-0.446468936600357
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.7046,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823684.7046,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.28870892524719,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.71766,0,ACC,0.995548090249788,red4_2024-02-13_11-27-08,1707823684.71766,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.30176997184753,-0.203091799566818
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.73818,0,HR,68.4153687940487,red4_2024-02-13_11-27-08,1707823684.73818,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.32229161262512,0.059562522022116
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.75754,0,ACC,0.991677871085162,red4_2024-02-13_11-27-08,1707823684.75754,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.34165000915527,-1.46385527867309
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.77061,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823684.77061,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.35471701622009,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.79742,0,ACC,0.994372163729456,red4_2024-02-13_11-27-08,1707823684.79742,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.38153004646301,-0.586161891435973
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.83713,0,EA,3.977582,red4_2024-02-13_11-27-08,1707823684.83713,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.42124104499817,-2.34043918845659
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.83765,0,ACC,0.997097287128994,red4_2024-02-13_11-27-08,1707823684.83765,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.42176008224487,0.301574929671809
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.87787,0,ACC,0.992919432783949,red4_2024-02-13_11-27-08,1707823684.87787,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.46198010444641,-1.05940385607799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.90366,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823684.90366,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.48776507377625,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.91741,0,ACC,0.993109258843155,red4_2024-02-13_11-27-08,1707823684.91741,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.50151991844177,-0.997566075670855
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.95694,0,ACC,0.994957788049322,red4_2024-02-13_11-27-08,1707823684.95694,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.54104995727539,-0.395388779227784
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.96966,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823684.96966,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.55377292633057,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.99648,0,ACC,0.993407267942006,red4_2024-02-13_11-27-08,1707823684.99648,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.58059000968933,-0.900486563557768
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.03567,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823685.03567,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.61978101730347,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.03602,0,ACC,0.996501881583773,red4_2024-02-13_11-27-08,1707823685.03602,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.62013006210327,0.107615483257706
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.07555,0,ACC,0.997184536582873,red4_2024-02-13_11-27-08,1707823685.07555,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.65966010093689,0.329997331696986
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.10168,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823685.10168,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.68578910827637,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.11509,0,ACC,0.992189498029484,red4_2024-02-13_11-27-08,1707823685.11509,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.69919991493225,-1.29718756842464
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.1548,0,ACC,0.997822629528916,red4_2024-02-13_11-27-08,1707823685.1548,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.73890995979309,0.537862635553518
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.16872,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823685.16872,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.75282907485962,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.1945,0,ACC,0.992522543824572,red4_2024-02-13_11-27-08,1707823685.1945,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.77860999107361,-1.18869449414227
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.23438,0,ACC,0.995213042519038,red4_2024-02-13_11-27-08,1707823685.23438,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.81849002838135,-0.312237024867734
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.23524,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823685.23524,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.8193531036377,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.27426,0,ACC,0.994412389303351,red4_2024-02-13_11-27-08,1707823685.27426,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.85837006568909,-0.57305799929561
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.30177,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823685.30177,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.88587713241577,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.31414,0,ACC,0.99412172292934,red4_2024-02-13_11-27-08,1707823685.31414,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.89825010299683,-0.667745543687611
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.35437,0,ACC,0.99226508554922,red4_2024-02-13_11-27-08,1707823685.35437,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.93848013877869,-1.27256416072969
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.36674,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823685.36674,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.95085406303406,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.39459,0,ACC,0.992661573750087,red4_2024-02-13_11-27-08,1707823685.39459,1,10370290,narrative_order,end,benz,LATE_MB.mp4,1.97869992256165,-1.14340407384919
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.43327,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823685.43327,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.01737809181213,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.43447,0,ACC,0.996032629987592,red4_2024-02-13_11-27-08,1707823685.43447,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.01857995986938,-0.0452480239009215
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.47435,0,ACC,0.996246455451662,red4_2024-02-13_11-27-08,1707823685.47435,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.05845999717712,0.024407808116661
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.49979,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823685.49979,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.08390212059021,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.51423,0,ACC,0.990104034937743,red4_2024-02-13_11-27-08,1707823685.51423,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.09834003448486,-1.97654850155288
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.55377,0,ACC,0.997800581278644,red4_2024-02-13_11-27-08,1707823685.55377,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.1378800868988,0.530680192508648
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.56632,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823685.56632,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.15042495727539,-2.36550743555799
