category,condition,item,stim,edv,t,metric,y
cluster,man,pizza,pizza.mp4,ACC,28,raw,1.02246866792486
cluster,man,pizza,pizza.mp4,HR,28,raw,68.9021092675645
cluster,man,pizza,pizza.mp4,EA,29,raw,4.13252228888889
cluster,man,pizza,pizza.mp4,ACC,29,raw,1.02292410247266
cluster,man,pizza,pizza.mp4,HR,29,raw,68.8428831153503
cluster,man,pizza,pizza.mp4,ACC,30,raw,1.0229523396638
cluster,man,pizza,pizza.mp4,EA,30,raw,4.12628133333333
cluster,man,pizza,pizza.mp4,HR,30,raw,69.1707837609947
cluster,man,pizza,pizza.mp4,EA,31,raw,4.11553693333333
cluster,man,pizza,pizza.mp4,ACC,31,raw,1.02281621923149
cluster,man,pizza,pizza.mp4,HR,31,raw,69.8985495923766
cluster,man,pizza,pizza.mp4,EA,32,raw,4.1108296
cluster,man,pizza,pizza.mp4,ACC,32,raw,1.02268000178961
cluster,man,pizza,pizza.mp4,HR,32,raw,69.4781661381104
cluster,man,pizza,pizza.mp4,EA,33,raw,4.10483677777778
cluster,man,pizza,pizza.mp4,ACC,33,raw,1.02252267365469
cluster,man,pizza,pizza.mp4,HR,33,raw,69.5428723545895
cluster,man,pizza,pizza.mp4,EA,34,raw,4.09575655555556
cluster,man,pizza,pizza.mp4,ACC,34,raw,1.02301371057946
cluster,man,pizza,pizza.mp4,HR,34,raw,69.3316460531592
cluster,man,pizza,pizza.mp4,EA,35,raw,4.09436902222222
cluster,man,pizza,pizza.mp4,ACC,35,raw,1.02295079282196
cluster,man,pizza,pizza.mp4,HR,35,raw,68.832541852014
cluster,man,pizza,pizza.mp4,EA,36,raw,4.09135911111111
cluster,man,pizza,pizza.mp4,ACC,36,raw,1.02224757388708
cluster,man,pizza,pizza.mp4,HR,36,raw,68.3868840598333
cluster,man,pizza,pizza.mp4,ACC,37,raw,1.02248132255554
cluster,man,pizza,pizza.mp4,EA,37,raw,4.1036486
cluster,man,pizza,pizza.mp4,HR,37,raw,68.2054684315632
cluster,man,pizza,pizza.mp4,EA,38,raw,4.13639686666667
cluster,man,pizza,pizza.mp4,ACC,38,raw,1.02279945623006
cluster,man,pizza,pizza.mp4,HR,38,raw,68.1413518847965
cluster,man,pizza,pizza.mp4,EA,39,raw,4.15433262222222
cluster,man,pizza,pizza.mp4,ACC,39,raw,1.02321751566312
cluster,man,pizza,pizza.mp4,HR,39,raw,68.8538337868406
cluster,man,pizza,pizza.mp4,EA,40,raw,4.1607326
cluster,man,pizza,pizza.mp4,ACC,40,raw,1.02249216009866
cluster,man,pizza,pizza.mp4,HR,40,raw,69.7158044691579
cluster,man,pizza,pizza.mp4,EA,41,raw,4.15715257777778
cluster,man,pizza,pizza.mp4,ACC,41,raw,1.0232747374866
cluster,man,pizza,pizza.mp4,HR,41,raw,69.4651383447627
cluster,man,pizza,pizza.mp4,EA,42,raw,4.15499391304348
cluster,man,pizza,pizza.mp4,ACC,42,raw,1.02267189422442
cluster,man,pizza,pizza.mp4,HR,42,raw,69.7781277707935
cluster,man,pizza,pizza.mp4,ACC,43,raw,1.022656040103
cluster,man,pizza,pizza.mp4,EA,43,raw,4.14978427272727
cluster,man,pizza,pizza.mp4,HR,43,raw,70.1461626978989
cluster,man,pizza,pizza.mp4,EA,44,raw,4.138939
cluster,man,pizza,pizza.mp4,ACC,44,raw,1.02268855976569
cluster,man,pizza,pizza.mp4,HR,44,raw,70.1831877187068
cluster,man,pizza,pizza.mp4,ACC,45,raw,1.0231173316045
cluster,man,pizza,pizza.mp4,EA,45,raw,4.12951195555556
cluster,man,pizza,pizza.mp4,HR,45,raw,71.2329323752657
cluster,man,pizza,pizza.mp4,ACC,46,raw,1.02220845157162
cluster,man,pizza,pizza.mp4,EA,46,raw,4.12544617777778
cluster,man,pizza,pizza.mp4,HR,46,raw,71.2902436451576
cluster,man,pizza,pizza.mp4,EA,47,raw,4.1217949787234
cluster,man,pizza,pizza.mp4,ACC,47,raw,1.02290767566767
cluster,man,pizza,pizza.mp4,HR,47,raw,71.0535412062061
cluster,man,pizza,pizza.mp4,ACC,48,raw,1.0225494580193
cluster,man,pizza,pizza.mp4,EA,48,raw,4.11139936363636
cluster,man,pizza,pizza.mp4,HR,48,raw,70.4595901549935
cluster,man,pizza,pizza.mp4,EA,49,raw,4.10974315555556
cluster,man,pizza,pizza.mp4,ACC,49,raw,1.02248347882448
cluster,man,pizza,pizza.mp4,HR,49,raw,71.2108994933975
cluster,man,pizza,pizza.mp4,EA,50,raw,4.111091
cluster,man,pizza,pizza.mp4,ACC,50,raw,1.02194570707315
cluster,man,pizza,pizza.mp4,HR,50,raw,71.663958197607
cluster,man,pizza,pizza.mp4,EA,51,raw,4.11379748888889
cluster,man,pizza,pizza.mp4,ACC,51,raw,1.02246095614287
