LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1707824015.231093,407072,62641,1,HR,1,100,69
1707824016.142410,407956,62789,1,HR,1,100,68
1707824017.113520,408898,62927,1,HR,1,100,67
1707824018.071228,409827,63077,1,HR,1,100,66
1707824018.992855,410721,63212,1,HR,1,100,66
1707824019.872214,411574,63347,1,HR,1,100,66
1707824020.785594,412460,63495,1,HR,1,100,66
1707824021.642273,413291,63614,1,HR,1,100,67
1707824022.482459,414106,63739,1,HR,1,100,68
1707824023.400993,414997,63843,1,HR,1,100,67
1707824024.243240,415814,63929,1,HR,1,100,68
1707824025.134970,416679,64077,1,HR,1,100,68
1707824026.011237,417529,64212,1,HR,1,100,68
1707824026.886473,418378,64362,1,HR,1,100,68
1707824027.767894,419233,64483,1,HR,1,100,68
