LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1707823981.734333,374579.333,57473,3,AY,1,100,-0.882
1707823981.773851,374617.667,57473,3,AY,1,100,-0.878
1707823981.813369,374656.000,57473,3,AY,1,100,-0.872
1707823981.853574,374695.000,57491,3,AY,1,100,-0.876
1707823981.893779,374734.000,57491,3,AY,1,100,-0.874
1707823981.933984,374773.000,57491,3,AY,1,100,-0.878
1707823981.974705,374812.500,57509,2,AY,1,100,-0.878
1707823982.015425,374852.000,57509,2,AY,1,100,-0.873
1707823982.055287,374890.667,57524,3,AY,1,100,-0.881
1707823982.095148,374929.333,57524,3,AY,1,100,-0.881
1707823982.135010,374968.000,57524,3,AY,1,100,-0.876
1707823982.174700,375006.500,57541,2,AY,1,100,-0.881
1707823982.214390,375045.000,57541,2,AY,1,100,-0.876
1707823982.254251,375083.667,57558,3,AY,1,100,-0.878
1707823982.294113,375122.333,57558,3,AY,1,100,-0.881
1707823982.333974,375161.000,57558,3,AY,1,100,-0.877
1707823982.373836,375199.667,57574,3,AY,1,100,-0.875
1707823982.413697,375238.333,57574,3,AY,1,100,-0.873
