LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1707823982.742211,375557.000,57614,4,EM,1,100,PS
1707823982.794014,375607.250,57649,4,EM,1,100,RS
1707823982.845817,375657.500,57649,4,EM,1,100,RB
1707823982.897620,375707.750,57649,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823982.949423,375758.000,57649,4,EM,1,100,PS
1707823983.001226,375808.250,57682,4,EM,1,100,RS
1707823983.053028,375858.500,57682,4,EM,1,100,RB
1707823983.104831,375908.750,57682,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823983.156634,375959.000,57682,4,EM,1,100,PS
1707823983.208437,376009.250,57717,4,EM,1,100,RS
1707823983.260240,376059.500,57717,4,EM,1,100,RB
1707823983.312043,376109.750,57717,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823983.363845,376160.000,57717,4,EM,1,100,PS
1707823983.415648,376210.250,57750,4,EM,1,100,RS
1707823983.467451,376260.500,57750,4,EM,1,100,RB
1707823983.519254,376310.750,57750,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823983.571057,376361.000,57750,4,EM,1,100,PS
1707823983.622860,376411.250,57784,4,EM,1,100,RS
1707823983.674662,376461.500,57784,4,EM,1,100,RB
1707823983.726465,376511.750,57784,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823983.778268,376562.000,57784,4,EM,1,100,PS
1707823983.830071,376612.250,57818,4,EM,1,100,RS
1707823983.881874,376662.500,57818,4,EM,1,100,RB
1707823983.933677,376712.750,57818,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823983.985479,376763.000,57818,4,EM,1,100,PS
1707823984.076199,376851.000,57849,4,EM,1,100,RS
1707823984.166918,376939.000,57849,4,EM,1,100,RB
1707823984.257638,377027.000,57849,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823984.348357,377115.000,57849,4,EM,1,100,PS
1707823984.400160,377165.250,57883,4,EM,1,100,RS
1707823984.451963,377215.500,57883,4,EM,1,100,RB
1707823984.503765,377265.750,57883,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823984.555568,377316.000,57883,4,EM,1,100,PS
1707823984.607371,377366.250,57917,4,EM,1,100,RS
1707823984.659174,377416.500,57917,4,EM,1,100,RB
1707823984.710977,377466.750,57917,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823984.762780,377517.000,57917,4,EM,1,100,PS
1707823984.847056,377598.750,57956,4,EM,1,100,RS
1707823984.931332,377680.500,57956,4,EM,1,100,RB
1707823985.015608,377762.250,57956,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823985.099885,377844.000,57956,4,EM,1,100,PS
1707823985.151687,377894.250,57987,4,EM,1,100,RS
1707823985.203490,377944.500,57987,4,EM,1,100,RB
1707823985.255293,377994.750,57987,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823985.307096,378045.000,57987,4,EM,1,100,PS
1707823985.358899,378095.250,58021,4,EM,1,100,RS
1707823985.410702,378145.500,58021,4,EM,1,100,RB
1707823985.462504,378195.750,58021,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823985.514307,378246.000,58021,4,EM,1,100,PS
1707823985.582347,378312.000,58056,4,EM,1,100,RS
1707823985.650386,378378.000,58056,4,EM,1,100,RB
1707823985.718426,378444.000,58056,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823985.786465,378510.000,58056,4,EM,1,100,PS
1707823985.838268,378560.250,58090,4,EM,1,100,RS
1707823985.890071,378610.500,58090,4,EM,1,100,RB
1707823985.941874,378660.750,58090,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823985.993677,378711.000,58090,4,EM,1,100,PS
1707823986.045480,378761.250,58121,4,EM,1,100,RS
1707823986.097282,378811.500,58121,4,EM,1,100,RB
1707823986.149085,378861.750,58121,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823986.200888,378912.000,58121,4,EM,1,100,PS
1707823986.264546,378973.750,58155,4,EM,1,100,RS
1707823986.328205,379035.500,58155,4,EM,1,100,RB
1707823986.391863,379097.250,58155,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823986.455521,379159.000,58155,4,EM,1,100,PS
1707823986.507582,379209.500,58191,4,EM,1,100,RS
1707823986.559642,379260.000,58191,4,EM,1,100,RB
1707823986.611703,379310.500,58191,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823986.663763,379361.000,58191,4,EM,1,100,PS
1707823986.715566,379411.250,58222,4,EM,1,100,RS
1707823986.767369,379461.500,58222,4,EM,1,100,RB
1707823986.819172,379511.750,58222,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823986.870975,379562.000,58222,4,EM,1,100,PS
1707823986.936437,379625.500,58256,4,EM,1,100,RS
1707823987.001899,379689.000,58256,4,EM,1,100,RB
1707823987.067361,379752.500,58256,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823987.132824,379816.000,58256,4,EM,1,100,PS
1707823987.184627,379866.250,58290,4,EM,1,100,RS
1707823987.236429,379916.500,58290,4,EM,1,100,RB
1707823987.288232,379966.750,58290,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823987.340035,380017.000,58290,4,EM,1,100,PS
1707823987.391580,380067.000,58321,4,EM,1,100,RS
1707823987.443125,380117.000,58321,4,EM,1,100,RB
1707823987.494670,380167.000,58321,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823987.546215,380217.000,58321,4,EM,1,100,PS
1707823987.608843,380277.750,58357,4,EM,1,100,RS
1707823987.671470,380338.500,58357,4,EM,1,100,RB
1707823987.734097,380399.250,58357,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823987.796725,380460.000,58357,4,EM,1,100,PS
1707823987.848528,380510.250,58391,4,EM,1,100,RS
1707823987.900330,380560.500,58391,4,EM,1,100,RB
1707823987.952133,380610.750,58391,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823988.003936,380661.000,58391,4,EM,1,100,PS
1707823988.055739,380711.250,58422,4,EM,1,100,RS
1707823988.107542,380761.500,58422,4,EM,1,100,RB
1707823988.159345,380811.750,58422,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823988.211147,380862.000,58422,4,EM,1,100,PS
1707823988.272744,380921.750,58458,4,EM,1,100,RS
1707823988.334340,380981.500,58458,4,EM,1,100,RB
1707823988.395937,381041.250,58458,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823988.457533,381101.000,58458,4,EM,1,100,PS
1707823988.509078,381151.000,58494,4,EM,1,100,RS
1707823988.560623,381201.000,58494,4,EM,1,100,RB
1707823988.612168,381251.000,58494,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823988.663713,381301.000,58494,4,EM,1,100,PS
1707823988.715516,381351.250,58525,4,EM,1,100,RS
1707823988.767319,381401.500,58525,4,EM,1,100,RB
1707823988.819122,381451.750,58525,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823988.870925,381502.000,58525,4,EM,1,100,PS
1707823988.961386,381589.750,58559,4,EM,1,100,RS
1707823989.051848,381677.500,58559,4,EM,1,100,RB
1707823989.142310,381765.250,58559,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823989.232771,381853.000,58559,4,EM,1,100,PS
1707823989.298749,381917.000,58577,4,EM,1,100,RS
1707823989.364727,381981.000,58577,4,EM,1,100,RB
1707823989.430705,382045.000,58577,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823989.496682,382109.000,58577,4,EM,1,100,PS
1707823989.556475,382167.000,58596,4,EM,1,100,RS
1707823989.616267,382225.000,58596,4,EM,1,100,RB
1707823989.676059,382283.000,58596,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823989.735852,382341.000,58596,4,EM,1,100,PS
1707823989.787654,382391.250,58629,4,EM,1,100,RS
1707823989.839457,382441.500,58629,4,EM,1,100,RB
