LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1707823980.136091,373029.000,57212,2,GZ,1,100,-0.214
1707823980.175952,373067.667,57228,3,GZ,1,100,-0.336
1707823980.215814,373106.333,57228,3,GZ,1,100,0.580
1707823980.255675,373145.000,57228,3,GZ,1,100,2.533
1707823980.295537,373183.667,57244,3,GZ,1,100,2.258
1707823980.335399,373222.333,57244,3,GZ,1,100,0.061
1707823980.375260,373261.000,57244,3,GZ,1,100,-1.129
1707823980.414950,373299.500,57263,2,GZ,1,100,-3.418
1707823980.454640,373338.000,57263,2,GZ,1,100,-7.019
1707823980.494157,373376.333,57280,3,GZ,1,100,-3.265
1707823980.533675,373414.667,57280,3,GZ,1,100,5.249
1707823980.573193,373453.000,57280,3,GZ,1,100,4.242
1707823980.613398,373492.000,57295,2,GZ,1,100,-3.601
1707823980.653604,373531.000,57295,2,GZ,1,100,-1.251
1707823980.694152,373570.333,57311,3,GZ,1,100,2.747
1707823980.734701,373609.667,57311,3,GZ,1,100,0.336
1707823980.775250,373649.000,57311,3,GZ,1,100,-1.831
1707823980.815112,373687.667,57329,3,GZ,1,100,-3.937
1707823980.854973,373726.333,57329,3,GZ,1,100,-7.172
1707823980.894835,373765.000,57329,3,GZ,1,100,-8.423
1707823980.934009,373803.000,57345,2,GZ,1,100,-3.937
1707823980.973183,373841.000,57345,2,GZ,1,100,3.937
1707823981.013389,373880.000,57362,3,GZ,1,100,3.662
1707823981.053594,373919.000,57362,3,GZ,1,100,-2.319
